code,min_valid_loss,max_valid_auc,min_test_loss,max_test_auc
600846,0.4549,0.7663,0.5685,0.6641
300165,0.4078,0.7662,0.7392,0.5424
003039,0.3526,0.7662,0.579,0.6385
300047,0.4395,0.7656,0.7401,0.5575
300591,0.4715,0.7656,0.6438,0.4909
300076,0.5182,0.7655,0.6062,0.5589
600366,0.4392,0.7645,0.7876,0.5118
600885,0.4373,0.7645,0.7326,0.5011
603324,0.2533,0.7639,1.0691,0.4798
300955,0.3697,0.7639,0.79,0.5142
603601,0.5136,0.7637,0.6249,0.5687
000531,0.453,0.7636,0.8938,0.542
300969,0.3173,0.7636,0.8798,0.5044
000973,0.5201,0.7636,0.6236,0.525
002020,0.4413,0.7636,0.7375,0.5128
002691,0.4624,0.7635,0.8776,0.4238
605009,0.4566,0.7634,0.6366,0.4398
600648,0.4957,0.763,0.6325,0.5868
300730,0.4477,0.7627,0.76,0.5254
300284,0.472,0.7622,0.6672,0.4158
688116,0.4552,0.7619,0.7263,0.514
002561,0.4358,0.7619,0.6859,0.4538
002737,0.4416,0.7618,0.7565,0.5125
300719,0.4331,0.7618,0.8113,0.5303
300740,0.4945,0.7609,0.6755,0.582
002218,0.4727,0.7601,0.6101,0.5885
002805,0.4309,0.76,1.0933,0.4956
002762,0.4409,0.7599,0.6893,0.5705
601117,0.43,0.7594,0.7371,0.4367
002869,0.4693,0.7593,0.7765,0.5343
000063,0.4964,0.7591,0.6623,0.5094
000040,0.4175,0.7582,1.0083,0.4558
600321,0.4252,0.7567,0.6649,0.5559
300218,0.4274,0.7564,0.6817,0.5041
600129,0.473,0.7564,0.7135,0.4471
002486,0.5045,0.7564,0.6367,0.4354
600530,0.4447,0.7564,0.6326,0.6119
002150,0.4426,0.7554,1.1626,0.3639
300846,0.4101,0.7549,0.8369,0.5018
603588,0.461,0.7548,0.6156,0.5423
002898,0.4362,0.7548,0.937,0.4934
000721,0.4372,0.7546,0.7065,0.5764
605258,0.3786,0.7544,0.6503,0.517
600917,0.4585,0.7538,0.7397,0.5568
300030,0.4481,0.7538,0.8067,0.4711
300094,0.4504,0.7537,0.6106,0.6273
000705,0.4475,0.7527,0.6936,0.5484
600302,0.4684,0.7527,0.6415,0.6135
002847,0.5079,0.7527,0.6504,0.5341
002153,0.4118,0.752,0.729,0.415
600117,0.4893,0.7519,0.5975,0.5006
600332,0.4485,0.7518,1.1941,0.4915
300389,0.5181,0.7518,0.623,0.4419
300395,0.5132,0.7509,0.6265,0.4801
